block,stress,treatment,days,count
7,low,MR,43,5
8,low,BC,43,5
8,low,MC,43,5
8,low,MR,43,3
9,low,BC,43,5
9,low,MC,43,4
9,low,MR,43,5
10,high,BC,43,5
10,high,MC,43,5
10,high,MR,43,5
11,high,BC,43,0
11,high,MC,43,4
11,high,MR,43,2
12,high,BC,43,5
12,high,MC,43,5
12,high,MR,43,5
13,high,BC,43,2
13,high,MC,43,5
13,high,MR,43,5
14,high,BC,43,5
14,high,MC,43,5
14,high,MR,43,4
15,high,BC,43,4
15,high,MC,43,5
15,high,MR,43,4
16,high,BC,43,5
16,high,MC,43,5
16,high,MR,43,5
17,high,BC,43,5
17,high,MC,43,5
17,high,MR,43,3
18,high,BC,43,5
18,high,MC,43,5
18,high,MR,43,4
1,low,BC,60,5
1,low,MC,60,5
1,low,MR,60,5
2,low,BC,60,5
2,low,MC,60,5
2,low,MR,60,5
3,low,BC,60,4
3,low,MC,60,4
3,low,MR,60,4
4,low,BC,60,5
4,low,MC,60,5
4,low,MR,60,5
5,low,BC,60,5
5,low,MC,60,5
5,low,MR,60,4
6,low,BC,60,2
6,low,MC,60,5
6,low,MR,60,3
7,low,BC,60,5
7,low,MC,60,5
7,low,MR,60,4
8,low,BC,60,5
8,low,MC,60,5
8,low,MR,60,3
9,low,BC,60,4
9,low,MC,60,5
9,low,MR,60,5
10,high,BC,60,5
10,high,MC,60,5
10,high,MR,60,5
11,high,BC,60,0
11,high,MC,60,4
11,high,MR,60,2
12,high,BC,60,5
12,high,MC,60,5
12,high,MR,60,5
13,high,BC,60,2
13,high,MC,60,5
13,high,MR,60,5
14,high,BC,60,5
14,high,MC,60,5
14,high,MR,60,3
15,high,BC,60,4
15,high,MC,60,5
15,high,MR,60,4
16,high,BC,60,5
16,high,MC,60,5
16,high,MR,60,5
17,high,BC,60,5
17,high,MC,60,5
17,high,MR,60,4
18,high,BC,60,5
18,high,MC,60,5
18,high,MR,60,4
1,low,BC,77,5
1,low,MC,77,5
1,low,MR,77,5
2,low,BC,77,5
2,low,MC,77,5
2,low,MR,77,5
3,low,BC,77,3
3,low,MC,77,4
3,low,MR,77,5
4,low,BC,77,5
4,low,MC,77,5
4,low,MR,77,5
5,low,BC,77,5
5,low,MC,77,5
5,low,MR,77,4
6,low,BC,77,2
6,low,MC,77,5
6,low,MR,77,3
7,low,BC,77,5
7,low,MC,77,4
7,low,MR,77,4
8,low,BC,77,5
8,low,MC,77,5
8,low,MR,77,3
9,low,BC,77,4
9,low,MC,77,4
9,low,MR,77,5
10,high,BC,77,5
10,high,MC,77,5
10,high,MR,77,5
11,high,BC,77,0
11,high,MC,77,4
11,high,MR,77,1
12,high,BC,77,5
12,high,MC,77,5
12,high,MR,77,5
13,high,BC,77,2
13,high,MC,77,5
13,high,MR,77,5
14,high,BC,77,5
14,high,MC,77,5
14,high,MR,77,3
15,high,BC,77,4
15,high,MC,77,5
15,high,MR,77,4
16,high,BC,77,5
16,high,MC,77,5
16,high,MR,77,5
17,high,BC,77,5
17,high,MC,77,5
17,high,MR,77,4
18,high,BC,77,5
18,high,MC,77,5
18,high,MR,77,4
1,low,BC,130,5
1,low,MC,130,2
1,low,MR,130,4
2,low,BC,130,5
2,low,MC,130,5
2,low,MR,130,4
3,low,BC,130,4
3,low,MC,130,5
3,low,MR,130,5
4,low,BC,130,5
4,low,MC,130,4
4,low,MR,130,1
5,low,BC,130,5
5,low,MC,130,3
5,low,MR,130,3
6,low,BC,130,2
6,low,MC,130,2
6,low,MR,130,2
7,low,BC,130,5
7,low,MC,130,1
7,low,MR,130,4
8,low,BC,130,5
8,low,MC,130,0
8,low,MR,130,2
9,low,BC,130,5
9,low,MC,130,1
9,low,MR,130,2
10,high,BC,130,5
10,high,MC,130,5
10,high,MR,130,5
11,high,BC,130,0
11,high,MC,130,3
11,high,MR,130,1
12,high,BC,130,5
12,high,MC,130,5
12,high,MR,130,5
13,high,BC,130,2
13,high,MC,130,5
13,high,MR,130,3
14,high,BC,130,5
14,high,MC,130,5
14,high,MR,130,3
15,high,BC,130,4
15,high,MC,130,5
15,high,MR,130,4
16,high,BC,130,5
16,high,MC,130,5
16,high,MR,130,5
17,high,BC,130,5
17,high,MC,130,5
17,high,MR,130,4
18,high,BC,130,5
18,high,MC,130,5
18,high,MR,130,4
